Entry,Index,NAME,a,b,c,alpha,gamma,beta,r_factor,calculated_density
HOMOLUMOCHON_final|KUKDIE|169,170,KUKDIE,11.836,16.17,12.621,90.0,90.0,90.0,4.28,1.239
HOMOLUMOCHON_final|KUTKIU|170,171,KUTKIU,13.4828,5.1618,22.8462,90.0,90.0,123.863,4.44,1.214
HOMOLUMOCHON_final|LABYUJ|171,172,LABYUJ,15.0341,9.6076,17.3514,90.0,90.0,114.67,4.67,1.224
HOMOLUMOCHON_final|LISVIT|172,173,LISVIT,10.7984,10.7984,11.9281,90.0,90.0,90.0,3.52,1.262
HOMOLUMOCHON_final|LOJDIY|173,174,LOJDIY,21.7179,7.5323,12.0073,90.0,90.0,105.79,4.58,1.302
HOMOLUMOCHON_final|LORPUE|174,175,LORPUE,10.0057,7.9828,17.6199,90.0,90.0,90.0,5.12,1.389
HOMOLUMOCHON_final|LUXQIF|175,176,LUXQIF,14.4459,7.5558,24.0084,90.0,90.0,90.0,3.4,1.274
HOMOLUMOCHON_final|MAFZUP|176,177,MAFZUP,9.903,8.96,12.071,90.0,90.0,101.055,4.69,1.063
HOMOLUMOCHON_final|MIFSOJ|177,178,MIFSOJ,11.571,7.18,15.53,90.0,90.0,95.94,5.28,1.404
HOMOLUMOCHON_final|MIHXOR|178,179,MIHXOR,11.3159,7.5465,21.013,90.0,90.0,90.0,4.35,1.282
HOMOLUMOCHON_final|MIMFIY|179,180,MIMFIY,8.9328,9.6301,12.1514,106.294,94.664,96.654,7.54,1.203
HOMOLUMOCHON_final|MIVRUE|180,181,MIVRUE,5.1818,14.361,17.977,90.0,90.0,90.0,5.21,1.392
HOMOLUMOCHON_final|MOFLEZ|181,182,MOFLEZ,12.8787,14.0977,16.1673,90.0,90.0,106.795,4.97,1.221
HOMOLUMOCHON_final|MOSQEQ|182,183,MOSQEQ,6.5811,18.344,22.622,90.0,90.0,90.0,6.9,1.31
HOMOLUMOCHON_final|MOZZOR|183,184,MOZZOR,13.3977,19.3492,6.3089,90.0,90.0,90.0,3.38,1.285
HOMOLUMOCHON_final|MUBMEC|184,185,MUBMEC,9.7427,16.4049,17.0658,90.0,90.0,90.0,3.1,1.241
HOMOLUMOCHON_final|MUDSUA|185,186,MUDSUA,10.0514,10.6807,17.5467,90.0,90.0,90.0,3.2,1.271
HOMOLUMOCHON_final|MUDYIU|186,187,MUDYIU,8.579,12.719,16.819,90.0,90.0,90.0,4.27,1.189
HOMOLUMOCHON_final|MUGXAN|187,188,MUGXAN,5.9783,10.6105,16.7535,84.071,76.457,87.981,4.09,1.191
HOMOLUMOCHON_final|MUGXER|188,189,MUGXER,6.0829,9.8909,18.028,96.586,91.642,90.077,4.75,1.18
HOMOLUMOCHON_final|NAGWUO|189,190,NAGWUO,10.2213,11.4011,15.1911,92.073,101.554,97.155,4.28,1.204
HOMOLUMOCHON_final|NAMKAN02|190,191,NAMKAN02,11.991,10.746,7.456,90.0,90.0,90.0,4.7,1.274
HOMOLUMOCHON_final|NEQLUR|191,192,NEQLUR,12.0225,6.7301,19.1118,90.0,90.0,93.966,3.88,1.354
HOMOLUMOCHON_final|NOLTOY|192,193,NOLTOY,10.7709,11.1673,19.954,90.0,90.0,90.0,3.24,1.363
HOMOLUMOCHON_final|NOQTIX|193,194,NOQTIX,5.0553,17.3437,19.6339,90.0,90.0,97.653,7.86,1.302
HOMOLUMOCHON_final|NUQBEH|194,195,NUQBEH,18.0605,8.9371,11.1076,90.0,90.0,97.97,4.03,1.199
HOMOLUMOCHON_final|NUQFOV|195,196,NUQFOV,10.2658,10.8583,16.1842,90.0,90.0,107.909,3.63,1.294
HOMOLUMOCHON_final|OCESOG|196,197,OCESOG,11.6652,8.3921,12.8966,90.0,90.0,106.634,3.78,1.254
HOMOLUMOCHON_final|OCINUK|197,198,OCINUK,12.052,11.18,11.965,90.0,90.0,97.78,5.3,1.166
HOMOLUMOCHON_final|ODEJAJ|198,199,ODEJAJ,6.0306,10.9269,22.5309,90.0,90.0,95.005,4.37,1.268
HOMOLUMOCHON_final|OGEQIB02|199,200,OGEQIB02,4.8835,5.1418,10.2239,104.433,94.186,93.893,3.44,1.441
HOMOLUMOCHON_final|OGEQOH|200,201,OGEQOH,13.9106,9.3187,12.9047,90.0,90.0,112.712,3.03,1.345
HOMOLUMOCHON_final|OGEWIH|201,202,OGEWIH,12.0083,17.22,12.7738,90.0,90.0,99.302,4.04,1.079
HOMOLUMOCHON_final|OGOMON|202,203,OGOMON,5.7757,19.3231,9.7917,90.0,90.0,99.295,3.76,1.369
HOMOLUMOCHON_final|OLEBOX|203,204,OLEBOX,12.5482,8.0967,13.0553,90.0,90.0,117.338,4.72,1.157
HOMOLUMOCHON_final|ONUHUB|204,205,ONUHUB,8.2831,23.574,10.735,90.0,90.0,104.647,5.57,1.168
HOMOLUMOCHON_final|OSOROE|205,206,OSOROE,11.671,10.544,13.041,90.0,90.0,105.94,5.05,1.267
HOMOLUMOCHON_final|OXACUM|206,207,OXACUM,9.902,14.179,15.231,117.357,92.981,103.858,5.71,1.311
HOMOLUMOCHON_final|OZUYIS|207,208,OZUYIS,10.4624,11.8931,14.8821,84.502,83.263,76.137,6.02,1.26
HOMOLUMOCHON_final|PEMFAP|208,209,PEMFAP,12.4071,7.9834,21.376,90.0,90.0,98.041,5.74,1.282
HOMOLUMOCHON_final|PHENAZ01|209,210,PHENAZ01,12.967,4.981,7.056,90.0,90.0,109.0,0.0,1.389
